Aplicativo;ciudad;motivo;mensaje;comentario;latitud;longitud;fecha_hora_registro;hashTag;calificación;mensaje_completo;categoria_predicha;prioridad_predicha
azutaxi;cuenca;solicitud conductor;mala actitud;;;;2024-05-04 21:39:44;hashtag;1;solicitud conductor mala actitud;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;canselo;;;;2024-02-05 09:41:16;hashtag;2;solicitud conductor canselo;otros problemas;Baja
ktaxi;ibarra;solicitud conductor;mal no espera;desde web: solicitud atendida sin repuesta del cliente;;;2024-02-11 04:49:10;hashtag;1;solicitud conductor mal no espera;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cancela la solicitud en el lugar y se va en otro taxi;;;;2024-02-23 14:32:30;hashtag;1;solicitud conductor cancela la solicitud en el lugar y se va en otro taxi;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable  canceló solicitud  nunca llegó;desde web: se está revisando la bitácora, caso no relevante;;;2024-01-06 21:08:07;hashtag;1;solicitud cliente actitud desagradable  canceló solicitud  nunca llegó;problemas con el viaje;Alta
ktaxi;loja;solicitud conductor;cliente no sale esta x otro lado;;;;2024-04-26 12:43:10;hashtag;1;solicitud conductor cliente no sale esta x otro lado;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;se fue en otra unidad;;;;2024-03-04 13:00:05;hashtag;1;solicitud conductor se fue en otra unidad;problemas con el viaje;Alta
azutaxi;cuenca;uregente;aceptan tarjetas o transferencia;;-2.920234;-79.02121;2024-04-16 18:55:21;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0;uregente aceptan tarjetas o transferencia;objetos perdidos;Urgente
azutaxi;cuenca;solicitud conductor;cliente no está y no contesta de llegada;;;;2024-01-31 07:07:09;hashtag;1;solicitud conductor cliente no está y no contesta de llegada;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;objetos olvidados canceló cuando estaba llegando;;;;2024-03-02 17:10:08;hashtag;1;solicitud conductor objetos olvidados canceló cuando estaba llegando;objetos perdidos;Urgente
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: caso no relevante, se revisó la bitácora del conductor;;;2024-03-30 15:27:47;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cliente cancela solicitud cuando la unidad ya está llegando;desde web: no hay mayor número de carreras canceladas;;;2024-01-18 10:09:37;hashtag;1;solicitud conductor cliente cancela solicitud cuando la unidad ya está llegando;problemas con el viaje;Alta
ktaxi;loja;solicitud conductor;un juguetón más;;;;2024-01-02 15:08:01;hashtag;1;solicitud conductor un juguetón más;otros problemas;Baja
clipp;loja;solicitud cliente;"no sabe conducir, pésima atención.; conducción peligrosa; mal servicio";;;;2024-03-16 18:53:11;hashtag;1;"solicitud cliente no sabe conducir, pésima atención.; conducción peligrosa; mal servicio";problemas de seguridad;Inmediata
ktaxi;loja;solicitud conductor;no parece x ningún lado;;;;2024-03-15 00:44:50;hashtag;1;solicitud conductor no parece x ningún lado;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;apestaba el carro  mal estado de vehículo  uso teléfono hablo/chat;;;;2024-03-31 10:43:32;hashtag;2;solicitud cliente apestaba el carro  mal estado de vehículo  uso teléfono hablo/chat;problemas de seguridad;Inmediata
ktaxi;ambato;solicitud cliente;pasajero adelante   canceló solicitud;;;;2024-02-16 17:23:03;hashtag;1;solicitud cliente pasajero adelante   canceló solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cliente me canceló la solicitud cuando llegué al lugar este cliente siempre hace lo mismo y se fue en otra unidad;;;;2024-02-01 09:46:13;hashtag;1;solicitud conductor cliente me canceló la solicitud cuando llegué al lugar este cliente siempre hace lo mismo y se fue en otra unidad;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;actitud desagradable;;;;2024-04-16 16:58:59;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;cliente cancela la solicitud estando dirigiendose;;;;2024-04-22 17:43:05;hashtag;1;solicitud conductor cliente cancela la solicitud estando dirigiendose;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;se va en otra unidad;;;;2024-01-29 21:42:42;hashtag;1;solicitud conductor se va en otra unidad;problemas con el viaje;Alta
ktaxi;quevedo;solicitud cliente;canceló solicitud;;;;2024-03-18 08:28:32;hashtag;2;solicitud cliente canceló solicitud;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-05-02 10:01:21;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no hay cliente ase venir por gusto pesimo cliente;;;;2024-05-02 17:05:23;hashtag;1;solicitud conductor no hay cliente ase venir por gusto pesimo cliente;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cliente no está;;;;2024-03-09 13:46:03;hashtag;1;solicitud conductor cliente no está;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;la chica no salió no se le hizo el servicio;desde web: se notifica a la cliente que el tiempo de espera es máximo de 3 minutos que esté atenta al tiempo asignado por el conductor;;;2024-01-22 21:07:05;hashtag;1;solicitud conductor la chica no salió no se le hizo el servicio;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;no vino;;;;2024-03-07 23:39:14;hashtag;1;solicitud cliente no vino;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cancelo la solicitud;;;;2024-03-25 08:51:48;hashtag;1;solicitud conductor cancelo la solicitud;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;solicita cuando llego cancela la solicitud;desde web: se notifica a la cliente que debe esperar el tiempo asignado por el conductor;;;2024-04-14 08:53:06;hashtag;1;solicitud conductor solicita cuando llego cancela la solicitud;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;me hace venir degana llego y cancela así de fácil e irrespetuosa;;;;2024-03-13 14:52:51;hashtag;1;solicitud conductor me hace venir degana llego y cancela así de fácil e irrespetuosa;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;llevó otro cliente;;;;2024-03-14 12:31:15;hashtag;1;solicitud cliente llevó otro cliente;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;mal cliente;;;;2024-04-24 13:50:03;hashtag;1;solicitud conductor mal cliente;problemas de comportamiento;Urgente
ktaxi;quevedo;solicitud cliente;nunca llegó;;;;2024-02-12 23:29:54;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;llegando cancela la unidad;;;;2024-02-18 02:19:45;hashtag;1;solicitud conductor llegando cancela la unidad;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cancelo estando llegando;;;;2024-02-08 09:04:10;hashtag;1;solicitud conductor cancelo estando llegando;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-01-26 20:04:52;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;llevó otro cliente;;;;2024-02-03 01:36:46;hashtag;1;solicitud cliente llevó otro cliente;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;"nunca llegó y no me contestaba los
mensajes , lo odio 0 recomendando … pd3: feliz año !";;;;2024-01-01 00:10:26;hashtag;1;"solicitud cliente nunca llegó y no me contestaba los
mensajes , lo odio 0 recomendando … pd3: feliz año !";problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-02-10 11:14:15;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no salio;;;;2024-02-11 18:12:54;hashtag;1;solicitud conductor no salio;otros problemas;Baja
clipp;riobamba;solicitud cliente;"pésimo , la carrera salía en la app 2.80 al final le cobro a mi hija 5 dólares por que dice que eso marcó el taxímetro .. de qué sirve la app si van a; mal servicio";;;;2024-05-04 18:44:14;hashtag;1;"solicitud cliente pésimo , la carrera salía en la app 2.80 al final le cobro a mi hija 5 dólares por que dice que eso marcó el taxímetro .. de qué sirve la app si van a; mal servicio";problemas con el pago;Inmediata
azutaxi;cuenca;solicitud conductor;me dejó esperando nunca salió porfavor no;;;;2024-03-28 22:12:49;hashtag;1;solicitud conductor me dejó esperando nunca salió porfavor no;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;canceló solicitud;;;;2024-03-20 14:21:31;hashtag;2;solicitud cliente canceló solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cliente no sale ya espero 10 minitos;;;;2024-04-03 09:42:35;hashtag;1;solicitud conductor cliente no sale ya espero 10 minitos;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no espera la unidad;;;;2024-04-08 19:42:17;hashtag;1;solicitud conductor no espera la unidad;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;;;;2024-02-09 15:23:01;hashtag;2;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
clipp;loja;solicitud conductor;dfggggggggggg;;;;2024-04-03 06:39:48;hashtag;1;solicitud conductor dfggggggggggg;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-02-05 19:32:07;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;no espera;desde web: se notifica a la cliente que debe esperar el tiempo asignado por el conductor;;;2024-01-18 10:35:09;hashtag;1;solicitud conductor no espera;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó   nunca llegó;;;;2024-03-09 10:06:38;hashtag;1;solicitud cliente nunca llegó   nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;me cancela cuando llego ah recogerle;;;;2024-03-27 19:10:43;hashtag;1;solicitud conductor me cancela cuando llego ah recogerle;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;canceló solicitud;desde web: se revisó la bitácora, no mayor número de carreras canceladas;;;2024-01-22 08:47:04;hashtag;1;solicitud cliente canceló solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;revisar no contesta nunca salio;;;;2024-01-23 12:05:31;hashtag;1;solicitud conductor revisar no contesta nunca salio;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-03-11 13:16:35;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;se le espero 15 minutos y se le  llamo y no contesta;;;;2024-01-21 19:55:45;hashtag;1;solicitud conductor se le espero 15 minutos y se le  llamo y no contesta;problemas con el viaje;Alta
ktaxi;;pre-registro;#6156883  #estoydispuestoalcambio  #quieroserconductor | solicito acceder a la app ktaxi conductorciudad:la paz, el alto |;;-16.531056;-68.04405;2024-02-08 10:13:32;#contactorevisar# #contacto_conductor_app# #contacto_preregistro_conductor#;0;pre-registro #6156883  #estoydispuestoalcambio  #quieroserconductor | solicito acceder a la app ktaxi conductorciudad:la paz, el alto |;mensaje de operador;Baja
azutaxi;cuenca;solicitud cliente;canceló solicitud;;;;2024-02-02 23:01:25;hashtag;1;solicitud cliente canceló solicitud;problemas con el viaje;Alta
ktaxi;loja;solicitud conductor;cliente informa q esta a bordo;;;;2024-01-24 05:42:27;hashtag;1;solicitud conductor cliente informa q esta a bordo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;mucha espera y nadie sale;;;;2024-02-19 08:07:41;hashtag;1;solicitud conductor mucha espera y nadie sale;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;lo hice como me dijo el cliente por dónde quería venir al llegar me dice que tubo un problema en su trabajo y luego q el tx está marcando mal lo dije que no tengo ningún problema con la tarifa xq no hecho nada y recién pase cuenca aire m dice noseent;;;;2024-05-06 19:49:54;hashtag;2;solicitud conductor lo hice como me dijo el cliente por dónde quería venir al llegar me dice que tubo un problema en su trabajo y luego q el tx está marcando mal lo dije que no tengo ningún problema con la tarifa xq no hecho nada y recién pase cuenca aire m dice noseent;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;pide taxi y me tiene esperando nunca salió;;;;2024-04-20 09:47:34;hashtag;1;solicitud conductor pide taxi y me tiene esperando nunca salió;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;canceló solicitud;;;;2024-05-07 18:34:46;hashtag;1;solicitud cliente canceló solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cliente pésimo no espera;;;;2024-02-04 16:27:50;hashtag;1;solicitud conductor cliente pésimo no espera;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;;;;2024-02-04 01:05:32;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud cliente;canceló solicitud;;;;2024-02-08 07:38:36;hashtag;1;solicitud cliente canceló solicitud;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;no llego;;;;2024-02-06 05:59:06;hashtag;1;solicitud cliente no llego;problemas con el viaje;Alta
ktaxi;riobamba;solicitud cliente;usa otras rutas para ayudar al taxímetro a que salga más del valor que se cancela y va por rutas donde existe más tráfico   actitud desagradable  cobro inadecuado  uso teléfono hablo/chat;desde web:  se procedió a llamarle la atención al conductor y se pidió disculpas al cliente;;;2024-01-16 12:30:49;hashtag;2;solicitud cliente usa otras rutas para ayudar al taxímetro a que salga más del valor que se cancela y va por rutas donde existe más tráfico   actitud desagradable  cobro inadecuado  uso teléfono hablo/chat;problemas con el pago;Inmediata
azutaxi;cuenca;solicitud conductor;no responde msj dé la aplicación ni llamadas;;;;2024-04-17 19:43:53;hashtag;1;solicitud conductor no responde msj dé la aplicación ni llamadas;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;pésimo;;;;2024-01-03 22:57:15;hashtag;1;solicitud conductor pésimo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;no llegó;;;;2024-03-01 18:00:54;hashtag;1;solicitud cliente no llegó;problemas con el viaje;Alta
ktaxi;santo domingo;solicitud cliente;nunca llegó;;;;2024-02-23 10:16:52;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;pesimo hace ir y luego no sale el cliente y hace esperar;;;;2024-03-10 04:13:55;hashtag;1;solicitud conductor pesimo hace ir y luego no sale el cliente y hace esperar;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: caso no relevante, se revisó la bitácora del conductor;;;2024-03-23 19:24:02;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cancelo la solicitud;;;;2024-04-29 20:59:52;hashtag;1;solicitud conductor cancelo la solicitud;problemas con el viaje;Alta
ktaxi;loja;solicitud conductor;el cliente se ha ido;;;;2024-01-19 20:35:37;hashtag;2;solicitud conductor el cliente se ha ido;problemas con el viaje;Alta
ktaxi;quevedo;solicitud conductor;cancelo;;;;2024-03-06 16:23:32;hashtag;2;solicitud conductor cancelo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;la cliente no sale a tomar la unidad de tampoco quiere contestar el teléfono;;;;2024-01-07 14:10:28;hashtag;1;solicitud conductor la cliente no sale a tomar la unidad de tampoco quiere contestar el teléfono;problemas con el viaje;Alta
azutaxi;cuenca;lunes se me callo mi cedula ;el lunes no vio una cedula;;-2.90276;-78.998581;2024-04-03 17:47:06;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0;lunes se me callo mi cedula  el lunes no vio una cedula;problemas de seguridad;Inmediata
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-03-09 11:45:27;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;me cancela sin motivo y sin aviso...;;;;2024-03-19 18:47:43;hashtag;1;solicitud conductor me cancela sin motivo y sin aviso...;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;hace perder el tiempo;;;;2024-04-18 20:50:44;hashtag;1;solicitud conductor hace perder el tiempo;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;esta cn mascota y se le mencionó q debe solicitar desde la aplicación... y no se la llevo;;;;2024-02-16 13:54:02;hashtag;1;solicitud conductor esta cn mascota y se le mencionó q debe solicitar desde la aplicación... y no se la llevo;problemas con la cuenta/app;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-03-05 14:39:16;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;llegué la ubicación y en ese momento el cliente canceló la carrera;;;;2024-02-10 18:57:12;hashtag;1;solicitud conductor llegué la ubicación y en ese momento el cliente canceló la carrera;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;fatal pésimo servicio cancelan lo q se les da la gana;desde web: no exsite mayor número de cancelaciones, caso no relevante;;;2024-01-09 12:58:55;hashtag;1;solicitud cliente fatal pésimo servicio cancelan lo q se les da la gana;problemas con el viaje;Alta
ktaxi;ibarra;solicitud conductor;aparte de q se aplica de lejos se demora mucho tiempo;desde web: solicitud cancelada por el ususairo;;;2024-03-02 12:02:06;hashtag;1;solicitud conductor aparte de q se aplica de lejos se demora mucho tiempo;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;la cliente no contesta las llamadas y tampoco sale a tomar la unidad;;;;2024-01-25 14:48:45;hashtag;1;solicitud conductor la cliente no contesta las llamadas y tampoco sale a tomar la unidad;problemas con el viaje;Alta
ktaxi;ambato;encomienda ;disculpe cuanto me cuesta una encomienda de los agachaditos de acá vía a huachi san francisco a santa rosa;;-1.28639;-78.623779;2024-02-06 23:27:58;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0;encomienda  disculpe cuanto me cuesta una encomienda de los agachaditos de acá vía a huachi san francisco a santa rosa;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;botón abordo desactivado;;;;2024-03-31 00:23:36;hashtag;1;solicitud conductor botón abordo desactivado;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;cancela al llegar;desde web: no hay mayor número de carreras canceladas;;;2024-01-14 07:22:51;hashtag;1;solicitud conductor cancela al llegar;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;no  contesto;desde web: se notifica al cliente que debe estar pendiente de la unidad asignada tanto el tiempo asignado como en su recorrido;;;2024-01-03 20:32:12;hashtag;1;solicitud conductor no  contesto;problemas con el viaje;Alta
ktaxi;loja;solicitud conductor;no espera el tiempo;;;;2024-03-19 14:22:04;hashtag;1;solicitud conductor no espera el tiempo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;client cancela la solicitud;;;;2024-04-03 09:03:06;hashtag;1;solicitud conductor client cancela la solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llego;desde web: se revisó la bitácora, caso no relevante;;;2024-04-19 19:18:08;hashtag;1;solicitud cliente nunca llego;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no estaba en el lugar indicado y tiene registrado mal su número celular ne contestó otra persona;;;;2024-01-30 10:13:37;hashtag;1;solicitud conductor no estaba en el lugar indicado y tiene registrado mal su número celular ne contestó otra persona;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;imposible llevar son venezolanos borrrachos;;;;2024-02-18 05:50:03;hashtag;1;solicitud conductor imposible llevar son venezolanos borrrachos;problemas con el viaje;Alta
clipp;quito;solicitud conductor;no pide bien;;;;2024-03-04 13:45:38;hashtag;1;solicitud conductor no pide bien;problemas con el viaje;Alta
ktaxi;riobamba;solicitud cliente;nunca llegó;;;;2024-05-08 07:46:34;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no sale dijo que ya salía y no sale, deben pedir cuando están listos;;;;2024-03-02 22:34:08;hashtag;1;solicitud conductor no sale dijo que ya salía y no sale, deben pedir cuando están listos;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;se demora en salir, hace q le deje en parqueadero del trt, y se enoja xq no le cobro 1,50 y me va diciendo ladron;;;;2024-05-03 08:27:22;hashtag;2;solicitud conductor se demora en salir, hace q le deje en parqueadero del trt, y se enoja xq no le cobro 1,50 y me va diciendo ladron;problemas con el pago;Inmediata
ktaxi;loja;solicitud cliente;no fue por la calle indicada, lo que generó un atraso al lugar al que iba;;;;2024-04-09 08:04:26;hashtag;1;solicitud cliente no fue por la calle indicada, lo que generó un atraso al lugar al que iba;problemas con el pago;Inmediata
clipp;loja;solicitud cliente;"amargado, mal genio, no saluda; mal servicio";;;;2024-03-04 14:08:25;hashtag;1;"solicitud cliente amargado, mal genio, no saluda; mal servicio";problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no salió;;;;2024-04-14 11:53:22;hashtag;1;solicitud conductor no salió;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;llevó otro cliente  nunca llegó;;;;2024-01-04 18:37:34;hashtag;1;solicitud cliente llevó otro cliente  nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cancelo la carrera estando en el lugar;;;;2024-02-05 16:58:17;hashtag;1;solicitud conductor cancelo la carrera estando en el lugar;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no ay como cobrar con la tarjeta;;;;2024-04-29 20:35:15;hashtag;1;solicitud conductor no ay como cobrar con la tarjeta;problemas con el viaje;Alta
ktaxi;quevedo;solicitud cliente;pésimo servicio  llevó otro cliente;;;;2024-02-08 19:56:58;hashtag;1;solicitud cliente pésimo servicio  llevó otro cliente;problemas con el viaje;Alta
ktaxi;ambato;solicitud cliente;actitud desagradable;;;;2024-02-06 10:02:16;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;actitud desagradable;;;;2024-02-26 12:54:17;hashtag;2;solicitud conductor actitud desagradable;problemas de comportamiento;Urgente
ktaxi;ambato;solicitud cliente;llevó otro cliente;;;;2024-03-23 18:04:30;hashtag;1;solicitud cliente llevó otro cliente;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no sale, llego antes del tiempo no contesta mensajes no aparece la espero y nada;;;;2024-03-27 08:10:22;hashtag;1;solicitud conductor no sale, llego antes del tiempo no contesta mensajes no aparece la espero y nada;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-02-20 09:34:39;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-03-02 14:32:51;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;espera q llegue me hace esperar y cancel la;;;;2024-02-04 17:22:53;hashtag;1;solicitud conductor espera q llegue me hace esperar y cancel la;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-03-18 17:22:24;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-04-05 15:55:39;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;el cliente no utiliza la unidad;;;;2024-04-05 08:17:48;hashtag;1;solicitud conductor el cliente no utiliza la unidad;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no salió;;;;2024-02-08 23:50:55;hashtag;1;solicitud conductor no salió;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;desde web: solicitud no atendida por el codncutor;;;2024-01-10 14:56:48;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;la cliente no da bien la dirección;;;;2024-02-08 21:47:50;hashtag;1;solicitud conductor la cliente no da bien la dirección;problemas con la cuenta/app;Alta
azutaxi;cuenca;solicitud cliente;sr atrevido mal educado y encima vino con la placa diferente   vehículo incorrecto;;;;2024-03-17 00:19:02;hashtag;1;solicitud cliente sr atrevido mal educado y encima vino con la placa diferente   vehículo incorrecto;problemas con el viaje;Alta
ktaxi;quevedo;solicitud cliente;canceló solicitud;;;;2024-03-16 14:32:51;hashtag;1;solicitud cliente canceló solicitud;problemas con el viaje;Alta
lojagas;loja;solicitud cliente;nunca llego;;;;2024-03-16 18:42:39;hashtag;1;solicitud cliente nunca llego;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;gente sospecha;;;;2024-01-20 22:03:55;hashtag;1;solicitud conductor gente sospecha;problemas de comportamiento;Urgente
ktaxi;loja;solicitud cliente;encima d q no me recoge dónde tenía q ir ,se queda con el vuelto , dbestos conductores tiene q cambiar , tomen cartas en el asunto;;;;2024-02-11 04:47:12;hashtag;1;solicitud cliente encima d q no me recoge dónde tenía q ir ,se queda con el vuelto , dbestos conductores tiene q cambiar , tomen cartas en el asunto;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: caso no relevante, se revisó la bitácora del conductor;;;2024-03-31 20:32:25;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;el cliente cancelo la solicitud más seriedad x favor tomar encuenta este tipo de clientes 🤦‍♂️;;;;2024-03-16 12:47:02;hashtag;1;solicitud conductor el cliente cancelo la solicitud más seriedad x favor tomar encuenta este tipo de clientes 🤦‍♂️;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;mal cliente está jugando con la aplicación no desea el taxi;;;;2024-02-03 02:23:04;hashtag;1;solicitud conductor mal cliente está jugando con la aplicación no desea el taxi;problemas de seguridad;Inmediata
azutaxi;cuenca;solicitud conductor;cliente  no  ocupa  el  servicio  perdí  tiempo;;;;2024-02-21 12:07:53;hashtag;1;solicitud conductor cliente  no  ocupa  el  servicio  perdí  tiempo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cliente se demora al salir;;;;2024-03-02 17:13:37;hashtag;1;solicitud conductor cliente se demora al salir;otros problemas;Baja
clipp;cuenca;solicitud cliente;no llegó;;;;2024-04-20 19:43:11;hashtag;1;solicitud cliente no llegó;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;eliminen estos clientes x favor no sirve;;;;2024-01-30 19:32:09;hashtag;1;solicitud conductor eliminen estos clientes x favor no sirve;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;velocidad excesiva;;;;2024-03-04 14:06:57;hashtag;1;solicitud cliente velocidad excesiva;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;desde web: caso no relevante, se revisó la bitácora;;;2024-04-03 14:35:17;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;cliente cancela la solicitud estando en el lugar no contesta mensajes ni llamadas hace perder el tiempo;;;;2024-03-02 13:40:49;hashtag;1;solicitud conductor cliente cancela la solicitud estando en el lugar no contesta mensajes ni llamadas hace perder el tiempo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cliente nunca salio;;;;2024-03-02 18:49:53;hashtag;1;solicitud conductor cliente nunca salio;problemas de seguridad;Inmediata
azutaxi;cuenca;solicitud cliente;cobro inadecuado;;;;2024-01-05 07:12:53;hashtag;2;solicitud cliente cobro inadecuado;problemas con el pago;Inmediata
azutaxi;cuenca;eliminar cuenta;jkkhhh sjdkands. jaksja;;-2.855263;-79.100781;2024-01-01 09:53:25;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0;eliminar cuenta jkkhhh sjdkands. jaksja;problemas con la cuenta/app;Alta
ktaxi;loja;solicitud conductor;hace venir d bserede;;;;2024-01-25 16:18:09;hashtag;1;solicitud conductor hace venir d bserede;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;es compra;;;;2024-03-17 14:41:43;hashtag;1;solicitud conductor es compra;otros problemas;Baja
