Aplicativo;ciudad;motivo;mensaje;comentario;latitud;longitud;fecha_hora_registro;hashTag;calificación
ktaxi;ambato;solicitud cliente;canceló solicitud;null;null;null;2024-02-19 03:18:18;hashtag;2
ktaxi;loja;solicitud conductor;se fue en otra unidad con registro municipal 0961;null;null;null;2024-02-18 12:41:13;hashtag;1
ktaxi;loja;llamada a conductor desde historial;número;null;-4.005910;-79.208793;2024-01-27 19:57:28;#contactorevisar# #contacto_cliente_app# #contacto_de_solicitud_cliente#;0
azutaxi;cuenca;solicitud cliente;vehículo incorrecto;null;null;null;2024-01-08 13:46:09;hashtag;1
azutaxi;cuenca;solicitud conductor;la clienta pone mal la dirección;null;null;null;2024-04-20 13:36:28;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente  no espera y da x terminado;null;null;null;2024-02-01 08:26:40;hashtag;1
azutaxi;cuenca;solicitud conductor;mal cliente no salio ni contesto el movil;null;null;null;2024-03-26 21:14:42;hashtag;1
azutaxi;cuenca;solicitud cliente;velocidad excesiva;null;null;null;2024-04-28 03:34:23;hashtag;1
azutaxi;cuenca;solicitud conductor;no hay cliente;null;null;null;2024-01-31 15:23:04;hashtag;1
ktaxi;ambato;solicitud conductor;nonca salió;null;null;null;2024-02-10 20:29:59;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó el historial del conductor y revisar la novedad;null;null;2024-04-01 18:20:50;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-02-12 19:48:26;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-02-02 07:47:22;hashtag;1
azutaxi;cuenca;solicitud conductor;pésimo cliente;null;null;null;2024-02-06 20:31:16;hashtag;1
ecutaxi;santo domingo;solicitud cliente;estaba irritable   actitud desagradable;desde web: cliente indica mala actitud, conductor no indica novedad sobre carrera;null;null;2024-02-26 14:11:00;hashtag;1
azutaxi;cuenca;solicitud cliente;taxímetro alterado;desde web: se realiza el seguimiento del conductor;null;null;2024-04-05 19:54:14;hashtag;1
azutaxi;cuenca;solicitud conductor;no salió muy mal;null;null;null;2024-01-05 11:10:20;hashtag;1
ecutaxi;santo domingo;solicitud conductor;no espero y se a ido;null;null;null;2024-02-04 20:18:29;hashtag;2
azutaxi;cuenca;solicitud conductor;mal cliente cancelo la solicitud;null;null;null;2024-03-03 19:47:34;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó la bitácora, caso no relevante;null;null;2024-02-21 07:40:36;hashtag;1
ktaxi;cuenca;solicitud conductor;no supo donde mismo estaba ubicado yo llegué a la ubicación y me indico q no estoy en el lugar;null;null;null;2024-04-11 19:05:07;hashtag;1
azutaxi;cuenca;solicitud conductor;pedimos cliente solicita dos carreras y no paga,  que le pase dejando a una persona;null;null;null;2024-02-24 07:28:59;hashtag;1
azutaxi;cuenca;solicitud conductor;cancela;null;null;null;2024-04-25 13:26:12;hashtag;1
ktaxi;loja;solicitud conductor;no sale nada;null;null;null;2024-04-29 14:29:04;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salió;null;null;null;2024-01-25 12:24:59;hashtag;1
azutaxi;cuenca;solicitud conductor;me hizo esperar 10 minutos y nunca salio;null;null;null;2024-02-26 10:10:14;hashtag;1
azutaxi;cuenca;solicitud conductor;cancela la solicitud;null;null;null;2024-02-28 10:09:02;hashtag;1
azutaxi;cuenca;solicitud conductor;mala ubicación;null;null;null;2024-04-26 19:44:40;hashtag;1
ktaxi;loja;solicitud conductor;no hay nadie;null;null;null;2024-01-29 15:08:09;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;null;null;2024-01-20 00:27:32;hashtag;1
azutaxi;cuenca;solicitud cliente;tarifa alta;null;null;null;2024-04-20 01:49:26;hashtag;1
azutaxi;cuenca;solicitud conductor;no me contesta;null;null;null;2024-02-18 04:59:19;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-02-01 14:26:18;hashtag;1
clipp;loja;solicitud conductor;no me cancelo;null;null;null;2024-02-15 13:05:21;hashtag;1
ktaxi;riobamba;solicitud conductor;se va en otro vehículo de otra compania;desde web: nos comunicamos con el usuario y le recordamos el uso correcto de la aplicación;null;null;2024-02-06 15:53:58;hashtag;1
azutaxi;cuenca;solicitud cliente;mal educado   actitud desagradable;null;null;null;2024-03-05 07:30:26;hashtag;1
ktaxi;loja;solicitud conductor;se fue en otro taxi no verifico la placa se sube nomas hace perder el tiempo;null;null;null;2024-01-07 23:16:18;hashtag;1
azutaxi;cuenca;solicitud conductor;bien;null;null;null;2024-04-18 12:05:17;hashtag;2
azutaxi;cuenca;solicitud cliente;cobro inadecuado;null;null;null;2024-04-13 02:22:35;hashtag;2
azutaxi;cuenca;solicitud conductor;no me cancela la carrera me ase esperar q ya saca el dinero y nunca salio;null;null;null;2024-03-22 00:55:14;hashtag;1
ktaxi;ambato;solicitud conductor;cliente dice que ya viene a ver;desde web: se notifica al cliente que debe estar pendiente de la unidad asignada tanto el tiempo asignado como en su recorrido;null;null;2024-04-07 04:01:31;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-02-02 15:18:18;hashtag;1
ktaxi;loja;llamada a conductor desde historial;billetera perdida; clienta se contacto por perdida de billetera;-3.962447;-79.214978;2024-02-05 14:17:37;#contactorevisar# #contacto_cliente_app# #contacto_de_solicitud_cliente#;0
azutaxi;cuenca;solicitud cliente;canceló solicitud;desde web: no exsite mayor número de cancelaciones, caso no relevante}};null;null;2024-01-12 05:00:23;hashtag;2
azutaxi;cuenca;solicitud conductor;pone a bordo sin llegar;null;null;null;2024-03-12 13:24:50;hashtag;1
azutaxi;cuenca;objeto olvidado ;en un taxi con placa aaw cero nuevo once se quedó un teléfono y queremos información del taxi o su número de teléfono para contactarnos con el dueño;null;-2.885940;-78.987829;2024-02-09 22:50:46;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
ktaxi;quevedo;solicitud cliente;nunca llegó;null;null;null;2024-02-04 17:47:42;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-03-03 01:40:51;hashtag;1
ktaxi;loja;solicitud cliente;llevó otro cliente;null;null;null;2024-03-14 06:44:56;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-01-13 20:01:50;hashtag;1
azutaxi;cuenca;solicitud conductor;nadie sale;null;null;null;2024-03-08 09:34:02;hashtag;1
ktaxi;loja;olvido celular ;una amiga olvidó su celular en un taxi que tomó desde la aplicación;null;-3.997515;-79.201030;2024-01-08 08:47:01;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud conductor;me hace esperar y se va en otra unidad;null;null;null;2024-03-31 22:33:29;hashtag;1
ktaxi;loja;ese es mi nuevo numero ;ese es mi nuevo numero;null;-3.994025;-79.198181;2024-03-07 12:52:32;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
ktaxi;santo domingo;queja;la aplicación está fallando.pagamos una tarifa por el servicio;desde web: se cito a oficinas, conductor ktaxi;-0.248385;-79.160738;2024-04-12 11:21:31;#contactorevisar# #contacto_conductor_app# #contacto_sugerencia_conductor#;0
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó la bitácora, caso no relevante;null;null;2024-04-10 19:25:48;hashtag;1
azutaxi;cuenca;solicitud cliente;es un señor muy morboso con las muchachitas pésimo servicio;null;null;null;2024-03-04 15:54:09;hashtag;1
clipp;loja;solicitud conductor;el usuario no se encuentra en el lugar;null;null;null;2024-01-21 13:01:15;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-04-17 18:06:18;hashtag;1
azutaxi;cuenca;solicitud cliente;no llego   nunca llegó;desde web: se está revisando la bitácora, caso no relevante;null;null;2024-01-25 08:33:08;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente no sale;null;null;null;2024-02-20 22:32:25;hashtag;1
ktaxi;riobamba;solicitud conductor;pkne q está a bordo;desde web:  nos comunicamos con el usuario y le recordamos el uso correcto de la aplicación;null;null;2024-02-28 16:30:50;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente rechaza carrera en medio camino ,falta de seriedad;null;null;null;2024-03-02 15:47:03;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente no salio;null;null;null;2024-02-03 21:07:28;hashtag;1
pinos chiclayo;chiclayo;solicitud conductor;bloqueen al usuario porque para jugando con el aplicativo;null;null;null;2024-03-01 08:21:39;hashtag;1
azutaxi;cuenca;solicitud conductor;pide taxi y no espera;null;null;null;2024-01-07 11:28:44;hashtag;1
azutaxi;cuenca;solicitud conductor;se espero demasiado tiempo y el cliente no salió el romero;null;null;null;2024-02-19 06:45:50;hashtag;1
azutaxi;cuenca;solicitud cliente;llevó otro cliente  canceló solicitud;null;null;null;2024-02-04 03:39:19;hashtag;1
azutaxi;cuenca;solicitud conductor;dirección equivocada;null;null;null;2024-01-13 20:45:52;hashtag;1
azutaxi;cuenca;solicitud cliente;llevó otro cliente;null;null;null;2024-02-17 01:45:22;hashtag;1
ktaxi;ambato;solicitud conductor;cliente no sale ni contesta el teléfono;null;null;null;2024-03-28 23:28:42;hashtag;1
ktaxi;ambato;solicitud conductor;pesimo cliente;desde web: ciente bloqueado por mal uso de la app;null;null;2024-03-07 23:28:47;hashtag;1
ktaxi;riobamba;solicitud conductor;meco;desde web:  nos comunicamos con el usuario y le recordamos el uso correcto de la aplicación;null;null;2024-02-12 09:01:10;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-01-26 20:06:58;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;desde web: caso no relevante, se revisó la bitácora del conductor;null;null;2024-03-25 18:46:32;hashtag;1
azutaxi;cuenca;solicitud conductor;mil disculpas;null;null;null;2024-01-25 17:39:57;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-01-22 14:00:36;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente no responde sms ni llamada;null;null;null;2024-03-04 03:29:22;hashtag;1
clipp;loja;solicitud cliente;nunca llego a la ubicación;null;null;null;2024-02-07 13:33:01;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente no salió hace pasar tiempo;null;null;null;2024-01-20 21:48:11;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente canceló la carrera;null;null;null;2024-04-30 08:07:20;hashtag;1
ktaxi;tulcán;solicitud conductor;cliente incumplido;desde web: solicitud atendida por el condcutor;null;null;2024-01-17 06:45:28;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-04-09 17:33:48;hashtag;1
azutaxi;cuenca;solicitud conductor;estafa;null;null;null;2024-02-10 12:11:21;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-04-01 08:01:50;hashtag;1
ktaxi;loja;solicitud cliente;canceló solicitud;null;null;null;2024-02-14 13:39:48;hashtag;2
azutaxi;cuenca;solicitud conductor;no apareció el cliente;null;null;null;2024-04-24 17:01:49;hashtag;1
azutaxi;cuenca;solicitud conductor;no salió el cliente;null;null;null;2024-02-02 16:50:17;hashtag;1
ktaxi;ambato;solicitud conductor;bien;null;null;null;2024-02-01 17:30:39;hashtag;2
azutaxi;cuenca;solicitud conductor;cancelar lla solicitud lamentable hace perder el tiempo;null;null;null;2024-03-22 12:59:51;hashtag;1
azutaxi;cuenca;solicitud conductor;x favor bloquear a este tipo de personas,  se van en otro taxi antes de tiempo y cancela la unidad;null;null;null;2024-03-02 00:12:26;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salió;null;null;null;2024-04-30 15:29:08;hashtag;1
azutaxi;cuenca;solicitud cliente;ruta demasiado larga;null;null;null;2024-03-21 10:29:17;hashtag;1
ktaxi;loja;solicitud cliente;nunca llego  nunca llegó;null;null;null;2024-04-20 16:43:16;hashtag;1
azutaxi;cuenca;solicitud conductor;no sale nada no contesta;null;null;null;2024-01-04 19:01:01;hashtag;1
azutaxi;cuenca;solicitud conductor;mucho tiempo esperando;null;null;null;2024-04-23 08:44:14;hashtag;1
ktaxi;ambato;solicitud cliente;pesimo servicio.actitud.desagradable, desconocimiento no.coloca.taximetro.en automovil.;desde web: se notifica al cliente sobre el comentario dejado por el cliente;null;null;2024-04-21 12:44:36;hashtag;1
ktaxi;cochabamba;solicitud conductor;cliente jugando con la aplicación, espero que este cerca para cancelar la solicitud,  los autos funcionan  con combustible,  no solo con agua...;null;null;null;2024-01-18 11:05:07;hashtag;1
azutaxi;cuenca;solicitud conductor;desea llevar gente atras;null;null;null;2024-04-07 18:41:16;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-05-02 18:31:13;hashtag;1
azutaxi;cuenca;solicitud conductor;cancela solisitud;null;null;null;2024-05-06 07:02:55;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-02-15 11:39:49;hashtag;1
azutaxi;cuenca;solicitud cliente;llevó otro cliente;null;null;null;2024-02-20 23:11:57;hashtag;1
ktaxi;loja;solicitud conductor;se fue en otra unidad;null;null;null;2024-02-21 07:59:24;hashtag;1
azutaxi;cuenca;solicitud conductor;no sale;null;null;null;2024-01-29 06:44:33;hashtag;1
ktaxi;ambato;no funciona;cuando estoy solicitando una unidad se queda suspendido;null;-1.244537;-78.633127;2024-02-10 11:07:37;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud conductor;mal cliente;null;null;null;2024-02-24 22:19:51;hashtag;1
ktaxi;quevedo;solicitud cliente;actitud desagradable;null;null;null;2024-02-09 06:19:27;hashtag;2
azutaxi;cuenca;solicitud conductor;el cliente nunca salio y el numero no es el correcto;null;null;null;2024-03-11 11:40:05;hashtag;1
azutaxi;cuenca;incómodida;buenos se demoran;null;-2.876471;-78.998887;2024-04-15 06:59:07;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-05-04 18:54:14;hashtag;1
azutaxi;cuenca;solicitud conductor;no sale;null;null;null;2024-01-27 05:37:04;hashtag;1
ktaxi;ambato;solicitud conductor;aser ir  de ga a;desde web: se notifica  al conductor que debe asignar tiempos adecuados con eso evita que el cliente le cancele la carrera;null;null;2024-01-25 20:52:14;hashtag;1
ktaxi;loja;solicitud cliente;c fue;null;null;null;2024-01-27 07:57:28;hashtag;1
azutaxi;cuenca;solicitud cliente;el señor taxista desde que me monte al taxi tubo una mala actitud, no me llevo hasta el sitio a dónde me dirijia por qué no quería subir una loma   actitud desagradable;desde web: se está revisando la bitácora, caso no relevante;null;null;2024-01-06 15:20:11;hashtag;1
ecutaxi;santo domingo;solicitud cliente;no lego    nunca llegó;desde web: se pide disculpas a cliente, se envia link de descarga a clipp;null;null;2024-02-28 14:57:49;hashtag;1
azutaxi;cuenca;solicitud conductor;es la tercera vez que pide deberían bloquear a esta gente que hace perder el tiempo y juega con la aplicación;null;null;null;2024-03-18 16:38:18;hashtag;1
ktaxi;riobamba;solicitud cliente;actitud desagradable;desde web:  se procedió a llamarle la atención al conductor y se pidió disculpas al cliente;null;null;2024-01-17 22:32:10;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-02-07 14:41:14;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-03-04 11:42:41;hashtag;2
ktaxi;ambato;solicitud conductor;cancela;null;null;null;2024-02-18 12:21:54;hashtag;1
azutaxi;azogues;solicitud conductor;llegó al punto y cancela la solicitud;null;null;null;2024-03-31 17:48:53;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salio;null;null;null;2024-04-20 12:07:35;hashtag;1
azutaxi;cuenca;solicitud conductor;no salio ni contesta;null;null;null;2024-01-16 08:59:06;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-02-11 22:25:45;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-03-05 08:58:05;hashtag;1
azutaxi;cuenca;solicitud conductor;no sale número apagado;null;null;null;2024-01-08 06:37:55;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente canceló la solicitud, pésimo cliente;null;null;null;2024-03-16 07:52:00;hashtag;1
azutaxi;cuenca;solicitud conductor;se demora mucho en salir le espero más de 10min;null;null;null;2024-03-04 11:41:02;hashtag;1
azutaxi;cuenca;solicitud conductor;pésima actitud del cliente.;desde web: se atendió por medio del otro sistema;null;null;2024-04-07 19:25:20;hashtag;1
azutaxi;cuenca;solicitud conductor;actitudes desagradable quiere q le cobre menos porq no tiene;null;null;null;2024-02-25 10:59:40;hashtag;1
ktaxi;loja;solicitud cliente;no me recogió, pésimo servicio   llevó otro cliente  nunca llegó;null;null;null;2024-01-07 10:07:07;hashtag;1
ktaxi;quevedo;solicitud cliente;canceló solicitud;null;null;null;2024-05-06 21:43:46;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-02-23 16:17:08;hashtag;1
azutaxi;cuenca;solicitud cliente;no llegó   llevó otro cliente  nunca llegó;desde web: caso no relevante, se revisó la bitácora;null;null;2024-02-06 13:32:27;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente va en otra unidad me retiro del lugar no contesta el teléfono espero más de 5 minutos;null;null;null;2024-04-09 14:53:38;hashtag;1
azutaxi;cuenca;solicitud cliente;no sé sabe las direcciones ubicarse mejor   actitud desagradable;desde web: caso no relevante, se revisó la bitácora;null;null;2024-04-02 12:38:06;hashtag;2
azutaxi;cuenca;llamada a conductor desde historial;perdida de pertenencia, preguntar;null;-2.919455;-79.007751;2024-02-09 14:22:49;#contactorevisar# #contacto_cliente_app# #contacto_de_solicitud_cliente#;0
azutaxi;cuenca;solicitud conductor;no pide portabicicletas;null;null;null;2024-01-23 22:44:00;hashtag;1
ktaxi;loja;solicitud conductor;cliente cancelo la solicitud se deja de cojer de la calle por atender la app;null;null;null;2024-04-27 15:52:54;hashtag;1
azutaxi;cuenca;se me quedo un cell ahí en la unidad ;se me quedo mi celu;null;-2.872720;-79.072943;2024-01-24 18:21:14;#contactorevisar# #contacto_cliente_app# #contacto_de_solicitud_cliente#;0
unitaxi;quito;solicitud conductor;jamas salio me retiro;null;null;null;2024-03-06 16:24:46;hashtag;1
ktaxi;ambato;solicitud conductor;;desde web: se procede a contactar al conductor;null;null;2024-04-01 16:35:53;hashtag;1
azutaxi;cuenca;solicitud conductor;no sale nada y no contesta el celular bloquear...;null;null;null;2024-04-05 17:36:10;hashtag;1
ktaxi;loja;solicitud conductor;no aparece el cliente;null;null;null;2024-01-26 06:44:50;hashtag;1
azutaxi;cuenca;solicitud conductor;cancela carrera;null;null;null;2024-04-07 15:25:15;hashtag;1
ktaxi;ambato;solicitud cliente;nunca llegó;null;null;null;2024-03-31 07:16:15;hashtag;1
azutaxi;cuenca;solicitud conductor;no sale no retiro del lugar;null;null;null;2024-02-01 07:25:25;hashtag;1
azutaxi;cuenca;solicitud conductor;se demora en salir;null;null;null;2024-03-27 10:31:54;hashtag;2
ktaxi;loja;solicitud conductor;se ha ido en otro carro;null;null;null;2024-03-03 00:29:46;hashtag;2
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó la bitácora, caso no relevante;null;null;2024-02-16 17:41:12;hashtag;1
azutaxi;cuenca;perdida de celular;mi celular se perdió en una de sus unidades aproximadamente a antes de la una de la mañana;null;-2.896846;-79.016225;2024-04-21 21:31:53;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;carrera;quiero solicitar una carrera fija y el costo;null;-2.929948;-79.041022;2024-01-05 14:40:48;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud conductor;doy tiempo y cliente espera mal c;null;null;null;2024-02-03 16:20:53;hashtag;1
azutaxi;cuenca;solicitud conductor;no aparece y cancela mal cliente hace subir envano al cebollar;null;null;null;2024-05-02 23:35:48;hashtag;1
azutaxi;cuenca;solicitud cliente;escoge mal la ruta y cobra más de lo que marca el taxímetro   actitud desagradable;desde web: se revisó la bitácora, caso no relevante;null;null;2024-04-08 09:47:56;hashtag;1
azutaxi;cuenca;solicitud conductor;no sale;null;null;null;2024-01-26 10:56:28;hashtag;1
ktaxi;loja;solicitud cliente;no me recogió a mi;null;null;null;2024-03-21 16:46:00;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente cancela la carrera;null;null;null;2024-01-31 09:28:13;hashtag;1
azutaxi;cuenca;solicitud conductor;me retiro cliente se retira en otra unidad hace perder el tiempo;null;null;null;2024-04-03 08:11:56;hashtag;1
azutaxi;cuenca;solicitud conductor;sw fue en otra unidad;null;null;null;2024-02-21 16:12:47;hashtag;1
azutaxi;cuenca;solicitud conductor;un inconveniente disculpe;null;null;null;2024-04-15 17:06:05;hashtag;1
ktaxi;loja;solicitud conductor;que eres tonto o quieres hacerme pasear por las huevas le dan un número de placa un número de registro para verificar la unidad;null;null;null;2024-02-15 20:43:23;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente nunca salii;null;null;null;2024-02-01 19:00:04;hashtag;1
ktaxi;ambato;solicitud cliente;nunca llego y pone que estoy en el taxi   nunca llegó;null;null;null;2024-03-22 18:07:50;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente cogió otra unidad;null;null;null;2024-03-15 17:15:12;hashtag;1
azutaxi;cuenca;solicitud cliente;conduce usando el celular y maneja muy rapido  velocidad excesiva;null;null;null;2024-01-28 19:28:34;hashtag;1
azutaxi;cuenca;solicitud conductor;se fue en otro taxi;null;null;null;2024-04-17 20:38:56;hashtag;1
ecutaxi;riobamba;solicitud conductor;nunca salió y esperé full tiempo;desde web: nos comunicamos con el usuario y le recordamos el uso correcto de la aplicación;null;null;2024-01-08 10:37:46;hashtag;1
azutaxi;cuenca;solicitud conductor;"cliente no sale 
le llamo y me contesta de una manera grosera insultandome con unas palabras hopsenas";null;null;null;2024-02-06 18:02:17;hashtag;1
azutaxi;cuenca;solicitud conductor;botón abordo;null;null;null;2024-01-22 16:59:36;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó la bitácora, caso no relevante;null;null;2024-04-10 17:03:55;hashtag;1
ktaxi;ambato;solicitud conductor;vamos más seriedad;null;null;null;2024-02-23 16:10:04;hashtag;1
azutaxi;cuenca;solicitud conductor;actitud desagradable  no paga lo q está en el tx;null;null;null;2024-04-25 18:02:08;hashtag;1
ktaxi;loja;solicitud conductor;cliente no sale y sigue pidiendo;null;null;null;2024-04-10 18:40:09;hashtag;2
azutaxi;cuenca;solicitud conductor;cliente mal educada m escribe y luego cancel solicitud;null;null;null;2024-02-07 16:17:34;hashtag;1
azutaxi;cuenca;solicitud cliente;llevó otro cliente;null;null;null;2024-01-31 17:12:26;hashtag;1
azutaxi;cuenca;solicitud conductor;se fue en otro taxi;null;null;null;2024-01-27 21:02:06;hashtag;1
azutaxi;cuenca;solicitud conductor;mandó pasajera ebria y se quedó sin pagar la carrera como $4;null;null;null;2024-03-23 22:34:04;hashtag;1
azutaxi;cuenca;llamada a conductor desde historial;olvido de pertenencias;null;-2.898972;-78.989690;2024-02-10 16:06:46;#contactorevisar# #contacto_cliente_app# #contacto_de_solicitud_cliente#;0
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-04-13 16:05:12;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente me puso a bordo;null;null;null;2024-03-23 13:28:46;hashtag;1
azutaxi;cuenca;solicitud cliente;se cobró dos veces mi carrera;null;null;null;2024-03-08 21:45:37;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;null;null;2024-01-08 15:21:42;hashtag;1
ktaxi;ambato;solicitud cliente;no puso taxímetro, cobro de más;null;null;null;2024-03-31 00:37:18;hashtag;1
ktaxi;ambato;solicitud cliente;nunca llegó;null;null;null;2024-01-27 08:59:01;hashtag;1
azutaxi;cuenca;solicitud conductor;demasiado tráfico en la autopista;null;null;null;2024-03-23 19:17:22;hashtag;1
ktaxi;ambato;solicitud cliente;nunca llegó;desde web: se notifica al conductor que debe atender la solicitud aceptada en caso de no poder brindar el servicio le comunique al cliente.;null;null;2024-04-21 07:28:58;hashtag;1
azutaxi;cuenca;solicitud cliente;bien;null;null;null;2024-02-12 13:14:10;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente cancela la carrera ya estando en el lugar me hace venir en vano;null;null;null;2024-04-21 21:53:20;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente tomo otra unidad;null;null;null;2024-01-31 15:23:00;hashtag;1
azutaxi;cuenca;solicitud conductor;el cliente pide taxi y no sale;null;null;null;2024-03-01 22:44:23;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;desde web: caso no relevante, se revisó la bitácora del conductor;null;null;2024-03-10 02:08:28;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salio;null;null;null;2024-02-14 09:28:35;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-03-06 19:42:03;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-02-06 06:10:20;hashtag;1
azutaxi;cuenca;solicitud conductor;la  cliente envía otra persona en estado etílico;null;null;null;2024-05-03 23:32:06;hashtag;1
ktaxi;loja;solicitud conductor;no sale ni responde m retiro;null;null;null;2024-03-22 08:07:28;hashtag;1
azutaxi;cuenca;solicitud conductor;está en exceso de pasajeros cinco pasajeros;null;null;null;2024-04-10 18:30:24;hashtag;1
ktaxi;riobamba;eliminar cuenta;quiero ser conductor de kataxi;desde web: nos comunicamos con el usuario y le recordamos el uso correcto de la aplicación;-1.684940;-78.638998;2024-02-19 22:55:44;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud conductor;botón abordo desactivado;null;null;null;2024-02-17 06:41:07;hashtag;1
ktaxi;ambato;solicitud conductor;el cliente nunca sale, indica que ya se realizó la carrera;desde web: se notifica al cliente que debe estar pendiente de la unidad asignada tanto el tiempo asignado como en su recorrido;null;null;2024-04-11 00:11:26;hashtag;1
ktaxi;loja;solicitud cliente;se queja porque le dí un billete de $5 y no tenía sueltos   velocidad excesiva;null;null;null;2024-04-12 19:03:35;hashtag;1
azutaxi;cuenca;solicitud conductor;no sale ni contesta;null;null;null;2024-03-19 12:17:54;hashtag;1
azutaxi;cuenca;solicitud conductor;se fue en otro taxi, esta mal la ubicación;null;null;null;2024-04-19 20:09:40;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó la bitácora, caso no relevante;null;null;2024-02-16 07:57:37;hashtag;1
azutaxi;cuenca;solicitud cliente;velocidad excesiva  vehículo incorrecto  actitud desagradable  canceló solicitud  nunca llegó;desde web: se está revisando la bitácora, caso no relevante;null;null;2024-01-08 09:07:37;hashtag;1
azutaxi;cuenca;solicitud cliente;no llego  nunca llegó;null;null;null;2024-03-15 19:31:26;hashtag;1
ktaxi;ibarra;solicitud conductor;cliente cancelo;desde web: solicitud cancelada por el cliente;null;null;2024-02-02 18:38:39;hashtag;1
ktaxi;loja;solicitud conductor;estoy wsperando 5 minutos y nada de salir;null;null;null;2024-03-03 12:51:09;hashtag;1
azutaxi;cuenca;solicitud conductor;y vvdhkhfhmbgj;null;null;null;2024-03-15 17:13:16;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente sale atrasada de su domicilio indica que le lleve lo más rápido a la impostadora de cumpleaños de zhucay desde el tejar y viene a indicar que todos los días paga 2 con 75 y deja insultando.por favor tomar en cuenta esos tipos de clientes;null;null;null;2024-04-21 06:59:05;hashtag;1
